[1788894931544] === ENGINE STARTUP ===
[1788894931544] Attempting WebSocket connection...
[1788894931544] WebSocket connection spawned successfully.
[1788894931544] Initializing Terminal UI...
[1788894931544] Background Reconciliation Task started. Awaiting stream...
[1788894931546] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931596] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931646] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931697] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931864] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931865] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931865] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931897] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931947] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894931996] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932046] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932096] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932147] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932196] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932247] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932297] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932346] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932397] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932447] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932497] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932547] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932597] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932622] Msg #1: Depth received | Bids: 20, Asks: 20, Timestamp ID: 1788894932124
[1788894932623] Reconciler book exists: false
[1788894932623] ui_tx.send status: true, receiver count: 1
[1788894932647] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932696] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932746] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788894932797] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
