[1788895933237] === ENGINE STARTUP ===
[1788895933237] Attempting WebSocket connection...
[1788895933238] WebSocket connection spawned successfully.
[1788895933238] Initializing Terminal UI...
[1788895933238] Background Reconciliation Task started. Awaiting stream...
[1788895933239] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933289] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933340] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933500] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933501] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933502] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933539] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933588] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933639] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933689] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933740] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933790] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933841] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933889] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933941] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895933990] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934040] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934090] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934140] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934190] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934240] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895934272] Msg #1: Depth received | Bids: 20, Asks: 20, Timestamp ID: 1788895933592000000
[1788895934272] Reconciler book exists: true
[1788895934273] ui_tx.send status: true, receiver count: 1
[1788895934290] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934340] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934389] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934440] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934490] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934540] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934590] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895934640] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
